FAMILLE;SOUS-FAMILLE;REFERENCE;DESIGNATION_ARTICLE;CONDITIONNEMENT;UNITE;IMAGE;PRICE;ORIGINE
ANIMALERIE;Animalerie;2075;ALIMENT POUR CHIEN;5;KG;;800;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2006;TRIPES VERTES D'AGNEAU SACHET;1;KG;https://i.postimg.cc/NMpXM6f9/2006.png;1450;ROYAUME-UNI
BOUCHERIE;Agneau & Mouton;2407;TRANCHE DE GIGOT D'AGNEAU A/OS ;0,4;KG;https://i.postimg.cc/NfrxNnjd/2407.png;12600;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2408;SOURIS D'AGNEAU SOUS VIDE;0,8;KG;;13250;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2409;COLLIER D'AGNEAU S/V;0,4;KG;;;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2410;COLLIER D'AGNEAU SACHET;0,8;KG;https://i.postimg.cc/qvVxWGt4/2410.png;;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2415;RAGOUT DE JARRET D'AGNEAU SACHET;0,82;KG;;;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2416;JARRET D'AGNEAU S V X 2;0,52;KG;https://i.postimg.cc/Hkw9m755/2416.png;;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2419;COTE D'AGNEAU;0,4;KG;https://i.postimg.cc/XvncY7cP/2419.png;17840;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2443;NAVARIN D'AGNEAU;0,8;KG;https://i.postimg.cc/1zM0nhv3/2443.png;;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2444;RAGOUT D'AGNEAU SACHET ;0,9;KG;;7370;Nouvelle Zelande
BOUCHERIE;Agneau & Mouton;2445;PATTE D'AGNEAU SACHET;0,8;KG;https://i.postimg.cc/rmm15nHC/2445.png;1320;ISLANDE
BOUCHERIE;Agneau & Mouton;2446;TETE D'AGNEAU SACHET;1,4;KG;https://i.postimg.cc/J0Hj2yMs/2446.png;1320;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2447;1/4 AVANT AGNEAU DECOUPE LOCAL SACHET;3;KG;https://i.postimg.cc/8s8LQ1zt/2447.png;6130;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2448;1/4 ARRIERE AGNEAU DECOUPE LOCAL SACHET;3;KG;https://i.postimg.cc/7P5ckmL2/2448.png;6380;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2450;TRANCHE DE GIGOT D'AGNEAU LOCAL SACHET;0,4;KG;;;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2454;COTE D'AGNEAU LOCAL SACHET;0,5;KG;https://i.postimg.cc/v8CKHf1S/2454.png;7280;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2457;ROGNON D'AGNEAU LOCAL SACHET;0,2;KG;;;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2468;RAGOUT D'AGNEAU SACHET;0,8;KG;https://i.postimg.cc/SN8vXRCQ/2468.png;4490;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2471;EPAULE D'AGNEAU A/OS ENTIERE LOC SACHET;1,1;KG;https://i.postimg.cc/0ysH7v0Y/2471.png;6550;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2474;GIGOT D'AGNEAU ENTIER A/OS LOCAL SACHET;2,3;KG;https://i.postimg.cc/wjQ4VrwS/2474.png;7750;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2476;SOURIS D'AGNEAU LOCAL SACHET;0,5;KG;https://i.postimg.cc/QMN4nqPV/2476.png;;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2477;GIGOT D'AGNEAU RACCOURCI  A/OS LO SACHET;1,75;KG;;;COTE D'IVOIRE
BOUCHERIE;Agneau & Mouton;2485;POITRINE D'AGNEAU SACHET             ;0,9;KG;;;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2487;POITRINE D'AGNEAU TRANCHE  SACHET;1;KG;https://i.postimg.cc/JnGTRzRL/2487.png;2730;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2490;GIGOT D'AGNEAU RACCOURCI;1,6;KG;;;NOUVELLE ZELANDE
BOUCHERIE;Agneau & Mouton;2493;TRANCHE DE SELLE D'AGNEAU A/OS S/V;0,4;KG;;;NOUVELLE ZELANDE
